url,location,floor,floors_count,rooms_count,living_meters,kitchen_meters,total_meters,price_feb,price_apr,price_may,district,street,residential_complex,year_of_construction,price_per_m2
https://dzerzhinsky.cian.ru/sale/flat/300294227/,13.0,7.0,9.0,3.0,37.0,7.0,64.0,9550000,9110000,9200000,59.0,640.0,322.0,1979.0,143750.0
https://dzerzhinsky.cian.ru/sale/flat/292934833/,13.0,1.0,5.0,2.0,28.0,6.0,42.0,7070000,6920000,6850000,59.0,616.0,322.0,1966.0,163095.2380952381
https://dzerzhinsky.cian.ru/sale/flat/298341777/,13.0,1.0,5.0,1.0,16.0,6.0,29.0,4640000,4540000,4500000,59.0,36.0,322.0,1965.0,155172.41379310345
https://dzerzhinsky.cian.ru/sale/flat/294292394/,13.0,1.0,5.0,2.0,25.0,6.0,44.0,7220000,7050000,6990000,59.0,740.0,322.0,1966.0,158863.63636363635
https://dzerzhinsky.cian.ru/sale/flat/294020562/,13.0,5.0,5.0,2.0,25.0,5.0,40.0,6810000,6670000,6600000,59.0,112.0,322.0,1962.0,165000.0
https://dzerzhinsky.cian.ru/sale/flat/291919600/,13.0,4.0,18.0,1.0,37.0,10.0,58.0,9270000,9080000,9000000,59.0,671.0,97.0,2004.0,155172.41379310345
https://dzerzhinsky.cian.ru/sale/flat/299719996/,13.0,7.0,9.0,1.0,17.0,7.0,32.0,6480000,6360000,6300000,59.0,640.0,322.0,1984.0,196875.0
https://dzerzhinsky.cian.ru/sale/flat/300424214/,13.0,6.0,9.0,3.0,36.0,7.0,53.0,8890000,8510000,8600000,59.0,640.0,322.0,1980.0,162264.15094339623
https://dzerzhinsky.cian.ru/sale/flat/294776998/,13.0,13.0,15.0,2.0,36.0,16.0,87.0,12440000,12200000,12050000,59.0,671.0,322.0,1999.0,138505.7471264368
https://dzerzhinsky.cian.ru/sale/flat/298008236/,13.0,11.0,17.0,2.0,38.0,13.0,76.0,14170000,13890000,13750000,59.0,671.0,322.0,1999.0,180921.05263157896
https://dzerzhinsky.cian.ru/sale/flat/296638478/,13.0,15.0,18.0,2.0,32.0,24.0,82.0,13020000,12740000,12600000,59.0,671.0,97.0,2004.0,153658.53658536586
https://dzerzhinsky.cian.ru/sale/flat/301730575/,13.0,3.0,5.0,2.0,36.0,7.0,56.0,8660000,8480000,8400000,59.0,621.0,322.0,1960.0,150000.0
https://dzerzhinsky.cian.ru/sale/flat/297075213/,13.0,3.0,10.0,3.0,44.0,11.0,73.0,12870000,12620000,12500000,59.0,740.0,322.0,2006.0,171232.87671232875
https://dzerzhinsky.cian.ru/sale/flat/283209442/,13.0,8.0,9.0,3.0,38.0,7.0,58.0,8250000,8090000,8000000,65.0,621.0,322.0,1975.0,137931.0344827586
https://dzerzhinsky.cian.ru/sale/flat/300781020/,13.0,11.0,17.0,1.0,27.0,27.0,66.0,12930000,12500000,12500000,59.0,863.0,322.0,2003.0,189393.9393939394
https://dzerzhinsky.cian.ru/sale/flat/298753437/,13.0,12.0,17.0,2.0,34.0,14.0,73.0,11410000,11150000,11000000,59.0,671.0,97.0,2004.0,150684.9315068493
https://dzerzhinsky.cian.ru/sale/flat/294741652/,13.0,5.0,5.0,2.0,34.0,7.0,62.0,8990000,8820000,8700000,59.0,112.0,322.0,1959.0,140322.5806451613
https://dzerzhinsky.cian.ru/sale/flat/299961412/,13.0,1.0,5.0,2.0,27.0,6.0,40.0,7000000,6850000,6790000,59.0,112.0,322.0,1962.0,169750.0
https://dzerzhinsky.cian.ru/sale/flat/292778412/,13.0,4.0,17.0,2.0,34.0,28.0,95.0,12850000,12530000,12400000,59.0,226.0,49.0,2022.0,130526.31578947368
https://dzerzhinsky.cian.ru/sale/flat/237678131/,13.0,2.0,23.0,4.0,53.0,8.0,83.0,12720000,12300000,12300000,65.0,671.0,322.0,2003.0,148192.77108433735
https://dzerzhinsky.cian.ru/sale/flat/296457728/,13.0,3.0,18.0,1.0,15.0,22.0,56.0,9850000,9600000,9500000,59.0,671.0,97.0,2004.0,169642.85714285713
https://dzerzhinsky.cian.ru/sale/flat/301288191/,13.0,5.0,9.0,2.0,25.0,8.0,44.0,7100000,6970000,6900000,59.0,740.0,322.0,1974.0,156818.18181818182
https://dzerzhinsky.cian.ru/sale/flat/270025594/,13.0,2.0,5.0,2.0,32.0,6.0,44.0,7760000,7600000,7500000,65.0,36.0,322.0,1965.0,170454.54545454544
https://dzerzhinsky.cian.ru/sale/flat/283102124/,13.0,2.0,14.0,3.0,53.0,15.0,89.0,14990000,14700000,14500000,59.0,671.0,322.0,2003.0,162921.34831460673
https://dzerzhinsky.cian.ru/sale/flat/300578232/,13.0,5.0,18.0,2.0,38.0,9.0,69.0,11810000,11600000,11500000,59.0,671.0,322.0,2017.0,166666.66666666666
https://dzerzhinsky.cian.ru/sale/flat/297956277/,13.0,9.0,18.0,2.0,38.0,19.0,66.0,15310000,14990000,14800000,59.0,621.0,100.0,2011.0,224242.42424242425
https://dzerzhinsky.cian.ru/sale/flat/298848015/,13.0,4.0,5.0,3.0,36.0,6.0,56.0,8570000,8390000,8300000,59.0,621.0,322.0,1960.0,148214.2857142857
https://dzerzhinsky.cian.ru/sale/flat/296626555/,13.0,3.0,9.0,4.0,43.0,6.0,62.0,10450000,10210000,10100000,59.0,621.0,322.0,1974.0,162903.2258064516
https://dzerzhinsky.cian.ru/sale/flat/300689271/,13.0,3.0,9.0,3.0,43.0,6.0,62.0,10400000,10200000,10100000,59.0,621.0,322.0,1974.0,162903.2258064516
https://dzerzhinsky.cian.ru/sale/flat/297856578/,13.0,8.0,18.0,1.0,31.0,10.0,42.0,8250000,8080000,8000000,59.0,671.0,97.0,2004.0,190476.19047619047
https://dzerzhinsky.cian.ru/sale/flat/300163918/,13.0,3.0,9.0,2.0,27.0,5.0,43.0,7640000,7470000,7400000,59.0,36.0,322.0,1961.0,172093.02325581395
https://dzerzhinsky.cian.ru/sale/flat/300993221/,13.0,16.0,17.0,2.0,38.0,12.0,75.0,11350000,11120000,11000000,59.0,671.0,322.0,2017.0,146666.66666666666
https://dzerzhinsky.cian.ru/sale/flat/299792947/,13.0,14.0,15.0,2.0,35.0,8.0,55.0,8940000,8780000,8700000,59.0,671.0,322.0,1999.0,158181.81818181818
https://dzerzhinsky.cian.ru/sale/flat/282763590/,13.0,16.0,23.0,2.0,58.0,6.0,75.0,10250000,10040000,9950000,59.0,863.0,322.0,2002.0,132666.66666666666
https://dzerzhinsky.cian.ru/sale/flat/301833998/,13.0,8.0,17.0,1.0,16.0,20.0,49.0,9410000,9200000,9100000,59.0,863.0,322.0,2015.0,185714.2857142857
https://dzerzhinsky.cian.ru/sale/flat/300945308/,13.0,3.0,4.0,2.0,18.0,6.0,40.0,7430000,7260000,7200000,59.0,779.0,322.0,1961.0,180000.0
https://dzerzhinsky.cian.ru/sale/flat/300415973/,13.0,7.0,14.0,1.0,21.0,9.0,43.0,7620000,7320000,7390000,59.0,863.0,322.0,2005.0,171860.46511627908
https://dzerzhinsky.cian.ru/sale/flat/301836786/,13.0,5.0,9.0,3.0,36.0,7.0,57.0,10230000,10000000,9900000,59.0,863.0,322.0,1977.0,173684.2105263158
https://dzerzhinsky.cian.ru/sale/flat/301756785/,13.0,4.0,12.0,3.0,43.0,6.0,64.0,9810000,9600000,9500000,59.0,863.0,322.0,1981.0,148437.5
https://dzerzhinsky.cian.ru/sale/flat/298330892/,13.0,2.0,9.0,2.0,29.0,9.0,52.0,8420000,8070000,8150000,59.0,863.0,322.0,1994.0,156730.76923076922
https://dzerzhinsky.cian.ru/sale/flat/298046801/,13.0,18.0,18.0,2.0,41.0,18.0,75.0,11880000,11380000,11500000,59.0,621.0,100.0,2011.0,153333.33333333334
https://dzerzhinsky.cian.ru/sale/flat/292539494/,13.0,2.0,5.0,2.0,28.0,6.0,45.0,7080000,6900000,6900000,59.0,621.0,322.0,1963.0,153333.33333333334
https://dzerzhinsky.cian.ru/sale/flat/301151962/,13.0,5.0,13.0,1.0,16.0,7.0,32.0,7230000,7070000,7000000,59.0,671.0,322.0,1999.0,218750.0
https://dzerzhinsky.cian.ru/sale/flat/299506601/,13.0,5.0,9.0,1.0,12.0,10.0,33.0,5390000,5260000,5200000,59.0,36.0,322.0,1967.0,157575.75757575757
https://dzerzhinsky.cian.ru/sale/flat/298724946/,13.0,3.0,4.0,1.0,17.0,7.0,33.0,5690000,5570000,5500000,59.0,112.0,322.0,1953.0,166666.66666666666
https://dzerzhinsky.cian.ru/sale/flat/299671216/,13.0,4.0,9.0,2.0,33.0,7.0,53.0,9250000,9060000,8950000,59.0,112.0,322.0,1978.0,168867.9245283019
https://dzerzhinsky.cian.ru/sale/flat/300253404/,13.0,7.0,17.0,1.0,18.0,10.0,43.0,9030000,8870000,8750000,59.0,671.0,290.0,2016.0,203488.37209302327
https://dzerzhinsky.cian.ru/sale/flat/291968752/,13.0,1.0,10.0,1.0,16.0,8.0,34.0,6530000,6380000,6300000,59.0,863.0,322.0,1999.0,185294.11764705883
https://dzerzhinsky.cian.ru/sale/flat/286411859/,13.0,4.0,9.0,3.0,38.0,9.0,64.0,9990000,9800000,9680000,59.0,863.0,322.0,2000.0,151250.0
