url,living_meters,kitchen_meters,year_of_construction
https://balashikha.cian.ru/sale/flat/300865948/,29.0,6.0,1971
https://balashikha.cian.ru/sale/flat/300561087/,22.8,4.7,2022
https://balashikha.cian.ru/sale/flat/301925742/,6.5,0,1984
https://balashikha.cian.ru/sale/flat/299529869/,13.0,11.0,2022
https://balashikha.cian.ru/sale/flat/298492738/,11.0,5.0,2021
https://balashikha.cian.ru/sale/flat/301706562/,18.4,6.0,1962
https://balashikha.cian.ru/sale/flat/299288601/,15.0,0,2023
https://balashikha.cian.ru/sale/flat/300106186/,12.0,7.0,2015
https://balashikha.cian.ru/sale/flat/298830123/,17.0,8.3,1986
https://balashikha.cian.ru/sale/flat/197283937/,31.0,0,2018
https://balashikha.cian.ru/sale/flat/291443815/,20.0,8.2,2022
https://balashikha.cian.ru/sale/flat/301381620/,12.3,9.8,2020
https://balashikha.cian.ru/sale/flat/298619869/,20.0,6.0,1967
https://balashikha.cian.ru/sale/flat/300030643/,19.0,8.0,2018
https://balashikha.cian.ru/sale/flat/286820897/,18.0,9.0,2013
https://balashikha.cian.ru/sale/flat/298969318/,20.3,3.5,0
https://balashikha.cian.ru/sale/flat/299280076/,17.0,10.0,2014
https://balashikha.cian.ru/sale/flat/301778185/,18.0,9.6,1986
https://balashikha.cian.ru/sale/flat/296083142/,15.0,11.0,2018
https://balashikha.cian.ru/sale/flat/300393865/,10.0,0,2018
https://balashikha.cian.ru/sale/flat/298755302/,18.2,8.1,2022
https://balashikha.cian.ru/sale/flat/301072196/,19.3,10.4,2007
https://balashikha.cian.ru/sale/flat/300827165/,29.0,6.0,1971
https://balashikha.cian.ru/sale/flat/297960408/,19.0,11.0,0
https://balashikha.cian.ru/sale/flat/299989337/,28.0,6.0,1965
https://balashikha.cian.ru/sale/flat/301895545/,14.0,4.0,2020
https://balashikha.cian.ru/sale/flat/292751024/,20.0,9.0,1987
https://balashikha.cian.ru/sale/flat/291308976/,13.0,4.0,2014
https://balashikha.cian.ru/sale/flat/300521950/,34.0,6.0,1970
https://balashikha.cian.ru/sale/flat/301489001/,14.5,11.5,2022
https://balashikha.cian.ru/sale/flat/298397902/,10.0,6.0,2023
https://balashikha.cian.ru/sale/flat/301323638/,17.0,8.0,1976
https://balashikha.cian.ru/sale/flat/301044565/,28.0,6.0,1960
https://balashikha.cian.ru/sale/flat/301784944/,19.0,8.0,1975
https://balashikha.cian.ru/sale/flat/291241338/,32.0,6.0,1972
https://balashikha.cian.ru/sale/flat/300633573/,17.8,11.6,2022
https://balashikha.cian.ru/sale/flat/295031417/,16.6,8.8,2017
https://balashikha.cian.ru/sale/flat/294470995/,16.0,9.0,2022
https://balashikha.cian.ru/sale/flat/301908553/,19.0,8.0,2010
https://balashikha.cian.ru/sale/flat/299462492/,20.0,12.0,1982
https://balashikha.cian.ru/sale/flat/300691598/,12.0,18.0,2003
https://balashikha.cian.ru/sale/flat/299941389/,20.9,8.6,1900
https://balashikha.cian.ru/sale/flat/300991562/,17.0,10.0,2020
https://balashikha.cian.ru/sale/flat/298383518/,26.4,6.0,1965
https://balashikha.cian.ru/sale/flat/289897143/,13.0,10.5,2014
https://balashikha.cian.ru/sale/flat/294819555/,12.5,10.0,2021
https://balashikha.cian.ru/sale/flat/299239557/,15.0,8.0,2022
https://balashikha.cian.ru/sale/flat/301618409/,16.5,8.5,2015
https://balashikha.cian.ru/sale/flat/300986213/,20.0,9.0,2009
https://balashikha.cian.ru/sale/flat/294969016/,11.0,0,2014
https://balashikha.cian.ru/sale/flat/295679636/,16.0,9.2,2011
https://balashikha.cian.ru/sale/flat/298985587/,23.7,6.7,1871
https://balashikha.cian.ru/sale/flat/300734401/,17.0,5.0,1967
https://balashikha.cian.ru/sale/flat/296356986/,27.0,6.0,1965
https://balashikha.cian.ru/sale/flat/299861168/,18.7,8.7,2022
https://balashikha.cian.ru/sale/flat/295322713/,25.0,6.0,1970
https://balashikha.cian.ru/sale/flat/299848729/,18.0,15.0,2006
https://balashikha.cian.ru/sale/flat/260148442/,17.0,9.0,1997
https://balashikha.cian.ru/sale/flat/298146575/,17.2,7.8,2002
https://balashikha.cian.ru/sale/flat/300602026/,19.0,5.0,1978
https://balashikha.cian.ru/sale/flat/301960949/,17.1,8.8,1997
https://balashikha.cian.ru/sale/flat/300335246/,27.0,6.0,1966
https://balashikha.cian.ru/sale/flat/299916614/,19.0,8.0,2006
https://balashikha.cian.ru/sale/flat/290026538/,13.8,8.5,2023
https://balashikha.cian.ru/sale/flat/301337616/,28.0,5.5,1963
https://balashikha.cian.ru/sale/flat/300287478/,21.0,8.0,1982
https://balashikha.cian.ru/sale/flat/297394267/,17.0,8.0,1988
https://balashikha.cian.ru/sale/flat/298489253/,13.0,9.5,2022
https://balashikha.cian.ru/sale/flat/292279904/,14.5,11.5,2022
https://balashikha.cian.ru/sale/flat/297170199/,11.5,10.6,2019
https://balashikha.cian.ru/sale/flat/301912538/,18.0,9.4,2022
https://balashikha.cian.ru/sale/flat/300032603/,20.7,9.0,2006
https://balashikha.cian.ru/sale/flat/299730916/,18.0,7.0,1990
https://balashikha.cian.ru/sale/flat/299060634/,26.4,5.5,1963
https://balashikha.cian.ru/sale/flat/298992857/,17.0,8.5,2022
https://balashikha.cian.ru/sale/flat/300978933/,20.0,8.0,2016
https://balashikha.cian.ru/sale/flat/301698454/,30.0,6.0,1962
https://balashikha.cian.ru/sale/flat/299597341/,14.1,17.6,2018
https://balashikha.cian.ru/sale/flat/297685573/,28.8,6.0,1962
https://balashikha.cian.ru/sale/flat/297006406/,27.0,6.0,1966
https://balashikha.cian.ru/sale/flat/294915520/,18.0,8.0,2022
https://balashikha.cian.ru/sale/flat/299409347/,27.3,0,2011
https://balashikha.cian.ru/sale/flat/301784933/,28.8,5.6,1965
